Movie_Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Original_Language,Description,Box Office,Budget,Directors,Writing_Credits,poster_path
https://www.themoviedb.org/movie/514847-the-hunt,Cuộc Săn Lùng,66%,"Phim Hành Động, Phim Gây Cấn, Phim Kinh Dị","[('Betty Gilpin', 'Crystal'), ('Hilary Swank', 'Athena'), ('Ethan Suplee', 'Gary'), ('Teri Wyble', 'Liberty'), ('Ike Barinholtz', 'Staten Island'), ('Wayne Duvall', 'Don'), ('Emma Roberts', 'Yoga Pants'), ('Christopher Berry', 'Target'), ('Sturgill Simpson', 'Vanilla Nice')]",03/13/2020 (US),1h 29m,Tiếng Anh,"Mười hai người lạ thức dậy trong một khoảng trống. Họ không biết họ đang ở đâu, hoặc họ đến đó bằng cách nào. Họ không biết rằng họ đã được chọn cho một mục đích rất cụ thể: họ là con mồi cho một cuộc săn lùng.","$10,550,350.00 ","$14,000,000.00 ",Craig Zobel,,posters3/poster_206.jpg
https://www.themoviedb.org/movie/1239251-megamind-vs-the-doom-syndicate,Megamind vs. the Doom Syndicate,50%,"Phim Hoạt Hình, Phim Hài, Phim Khoa Học Viễn Tưởng","[('Keith Ferguson', 'Megamind (voice)'), ('Laura Post', 'Roxanne Ritchi (voice)'), ('Josh Brener', ""OI' Chum (voice)""), ('Maya Tuttle', 'Keiko Morita (voice)'), ('Emily Tuñon', 'Lady Doppler (voice)'), ('Talon Warburton', 'Lord Nighty-Knight (voice)'), ('Scott Adsit', 'Pierre Pressure (voice)'), ('Chris Sullivan', 'Behemoth (voice)'), ('Tony Hale', 'Mel / Mr. Donut / TV Announcer (voice)')]",03/01/2024 (US),1h 25m,Tiếng Anh,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",$9.00 ,-,Eric Fogel,,posters3/poster_207.jpg
https://www.themoviedb.org/movie/540901-hustlers,Vũ Nữ Thoát Y,65%,"Phim Chính Kịch, Phim Hài, Phim Hình Sự","[('Constance Wu', 'Destiny'), ('Jennifer Lopez', 'Ramona Vega'), ('Julia Stiles', 'Elizabeth'), ('Keke Palmer', 'Mercedes'), ('Lili Reinhart', 'Annabelle'), ('Mercedes Ruehl', 'Mother'), ('Cardi B', 'Diamond'), ('Lizzo', 'Liz'), ('Mette', 'Justice')]",09/13/2019 (US),1h 50m,Tiếng Anh,Một đội ngữ gồm những nữ thoát y chuyên nghiệp làm việc với nhau để xoay chuyển tình thế hiện tại với những khách hàng Phố Walls của họ.,"$157,600,000.00 ","$20,000,000.00 ",Lorene Scafaria,,posters3/poster_208.jpg
https://www.themoviedb.org/movie/910-the-big-sleep,The Big Sleep,76%,"Phim Bí Ẩn, Phim Hình Sự, Phim Gây Cấn","[('Humphrey Bogart', 'Philip Marlowe'), ('Lauren Bacall', 'Vivian Sternwood Rutledge'), ('John Ridgely', 'Eddie Mars'), ('Martha Vickers', 'Carmen Sternwood'), ('Elisha Cook Jr.', 'Harry Jones'), ('Charles Waldron', 'General Sternwood'), ('Regis Toomey', 'Chief Inspector Bernie Ohls'), ('Louis Jean Heydt', 'Joe Brody'), ('Dorothy Malone', 'Acme Bookstore Proprietress')]",08/23/1946 (US),1h 54m,Tiếng Anh,"Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.","$4,900,000.00 ","$1,600,000.00 ",Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman",posters3/poster_209.jpg
https://www.themoviedb.org/movie/961-the-general,The General,80%,"Phim Hài, Phim Hành Động, Phim Phiêu Lưu, Phim Chiến Tranh","[('Buster Keaton', 'Johnny Gray'), ('Marion Mack', 'Annabelle Lee'), ('Glen Cavender', 'Captain Anderson'), ('Jim Farley', 'General Thatcher'), ('Frederick Vroom', 'A Southern General'), ('Charles Henry Smith', ""Annabelle's Father""), ('Joe Keaton', 'Union General'), ('Al St. John', 'Officer on Horseback (uncredited)'), ('Frank Barnes', ""Annabelle's Brother"")]",12/25/1926 (US),1h 19m,Tiếng Anh,"During America’s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.","$1,000,000.00 ","$750,000.00 ","Buster Keaton, Clyde Bruckman","Buster Keaton, Clyde Bruckman",posters3/poster_210.jpg
https://www.themoviedb.org/movie/274855-geostorm,Siêu Bão Địa Cầu,61%,"Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Gây Cấn","[('Gerard Butler', 'Jake Lawson'), ('Alexandra Maria Lara', 'Ute Fassbinder'), ('Jim Sturgess', 'Max Lawson'), ('Abbie Cornish', 'U.S. Secret Service Agent Sarah Wilson'), ('Ed Harris', 'U.S. Secretary of State Leonard Dekkom'), ('Andy García', 'U.S. President Andrew Palma'), ('Zazie Beetz', 'Dana'), ('Eugenio Derbez', 'Al Hernandez'), ('Robert Sheehan', 'Duncan Taylor')]",10/13/2017 (VN),1h 49m,Tiếng Anh,"Bộ phim nói về viễn tưởng tương lại khi sự biến đổi khí hậu thảm khốc gây nguy hiểm cho sự sống còn của Trái Đất, các chính phủ trên thế giới đã thống nhất với nhau và tạo ra một mạng lưới các vệ tinh. Mỗi khi muốn thay đổi thời tiết thì các vệ tinh này sẽ tác động lên mây, gió của bầu khí quyển Trái Đất và tạo ra hiệu ứng như ý muốn. Nhưng những việc này làm trái với thiên nhiên của tạo hóa đều có thể gây ra những hậu quả nghiêm trọng, những vệ tinh thời tiết này dần bị hư hỏng và gây ra hàng loạt thảm họa thiên nhiên trên khắp thế giới.","$221,600,160.00 ","$120,000,000.00 ",Dean Devlin,,posters3/poster_211.jpg
https://www.themoviedb.org/movie/398978-the-irishman,Người Đàn Ông Ireland,76%,"Phim Hình Sự, Phim Chính Kịch, Phim Lịch Sử","[('Robert De Niro', 'Frank Sheeran'), ('Al Pacino', 'Jimmy Hoffa'), ('Joe Pesci', 'Russell Bufalino'), ('Stephen Graham', ""Anthony 'Tony Pro' Provenzano""), ('Ray Romano', 'Bill Bufalino'), ('Harvey Keitel', 'Angelo Bruno'), ('Bobby Cannavale', ""'Skinny Razor'""), ('Anna Paquin', 'Older Peggy Sheeran'), ('Stephanie Kurtzuba', 'Irene Sheeran')]",11/27/2019 (VN),3h 29m,Tiếng Anh,Sát thủ Frank Sheeran nhìn lại các bí mật ông nắm giữ khi còn là thành viên trung thành của gia đình tội phạm Bufalino.,"$968,853.00 ","$159,000,000.00 ",Martin Scorsese,Steven Zaillian,posters3/poster_212.jpg
https://www.themoviedb.org/movie/395834-wind-river,Vùng Đất Tử Thần,74%,"Phim Hình Sự, Phim Chính Kịch, Phim Bí Ẩn, Phim Gây Cấn","[('Jeremy Renner', 'Cory Lambert'), ('Elizabeth Olsen', 'Jane Banner'), ('Gil Birmingham', 'Martin Hanson'), ('Graham Greene', 'Ben'), ('Jon Bernthal', 'Matt Rayburn'), ('Kelsey Asbille', 'Natalie Hanson'), ('Teo Briones', 'Casey Lambert'), ('Tantoo Cardinal', 'Alice Crowheart'), ('Matthew Del Negro', 'Dillon')]",09/08/2017 (VN),1h 47m,Tiếng Anh,"Vùng Đất Tử Thần do Taylor Sheridan đạo diễn kiêm biên kịch. Tác phẩm này gây chú ý ở Liên hoan phim Cannes với giải Đạo diễn xuất sắc trong hạng mục Un Certain Regard (Nhãn quan độc đáo). Trước đây, Taylor Sheridan từng ghi dấu ấn khi viết kịch bản của hai bộ phim Sicario và Hell or High Water. Cả ba bộ phim được giới phê bình đánh giá có liên quan đến nhau, cùng phản ánh những chủ đề chung về góc khuất nước Mỹ.","$44,998,252.00 ","$11,000,000.00 ",Taylor Sheridan,,posters3/poster_213.jpg
https://www.themoviedb.org/movie/1072790-anyone-but-you,Ghét Mà Vẫn Yêu,71%,"Phim Lãng Mạn, Phim Hài","[('Sydney Sweeney', 'Bea'), ('Glen Powell', 'Ben'), ('Mia Artemis', 'Barista'), ('Nat Buchanan', 'Miranda Clerk'), ('Josh Bonello', 'Skyler Cappuccino'), ('GaTa', 'Pete'), ('Alexandra Shipp', 'Claudia'), ('Hadley Robinson', 'Halle'), ('Dermot Mulroney', 'Leo')]",12/22/2023 (VN),1h 44m,Tiếng Anh,"Ghét Mà Vẫn Yêu xoay quanh Bea (Sydney Sweeney) và Ben (Glen Powell) - hai kẻ ghét nhau như “chó với mèo” từ thời Đại học. Sau nhiều năm tái ngộ, họ đều trở nên “ngon” hơn xưa gấp bội. Nhân chuyến du lịch Sydney (Úc), cả hai quyết định vờ làm người yêu và thực hiện luôn một đám cưới giả vì những lý do riêng. Thế nhưng, đây cũng là lúc vô số sự kiện dở khóc dở cười ập đến khiến hai kẻ thù dần nảy sinh tình cảm.","$214,891,370.00 ","$25,000,000.00 ",Will Gluck,"Will Gluck, Ilana Wolpert",posters3/poster_214.jpg
https://www.themoviedb.org/movie/567797-the-dry,The Dry,68%,"Phim Hình Sự, Phim Gây Cấn, Phim Bí Ẩn","[('Eric Bana', 'Aaron Falk'), (""Genevieve O'Reilly"", 'Gretchen Schoner'), (""Keir O'Donnell"", 'Greg Raco'), ('John Polson', 'Scott Whitlam'), ('Matt Nable', 'Grant Dow'), ('Eddie Baroo', 'McMurdo'), ('Martin Dingle Wall', 'Luke Hadler'), ('Julia Blake', 'Barb Hadler'), ('Bruce Spence', 'Gerry Hadler')]",01/01/2021 (AU),1h 57m,Tiếng Anh,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,"$17,424,378.00 ",-,Robert Connolly,"Robert Connolly, Harry Cripps",posters3/poster_215.jpg
https://www.themoviedb.org/movie/1227780-prom-dates,Prom Dates,46%,Phim Hài,"[('Julia Lester', 'Hannah'), ('Antonia Gentry', 'Jess'), ('Kenny Ridwan', 'Greg'), ('JT Neal', 'Jacob'), ('Jordan Buhat', 'Luca'), ('Zión Moreno', 'Heather'), ('Terry Hu', 'Angie'), ('Emery Kelly', 'Reggie'), ('John Michael Higgins', 'Lundy')]",05/03/2024 (US),1h 26m,Tiếng Anh,"Jess and Hannah, who made a pact at 13 to have the perfect senior prom. Despite the impending changes that college will bring over the next four years, the two are committed to honoring their prom pact. But with only 24 hours left before the big event, everything falls apart when they break up with each of their dates. Jess and Hannah are left with one night to find new dates and live out their middle-school fantasies.",-,-,Kim O. Nguyen,,posters3/poster_216.jpg
https://www.themoviedb.org/movie/4232-scream,Tiếng Thét,74%,"Phim Hình Sự, Phim Kinh Dị, Phim Bí Ẩn","[('David Arquette', 'Dewey Riley'), ('Neve Campbell', 'Sidney Prescott'), ('Courteney Cox', 'Gale Weathers'), ('Matthew Lillard', 'Stu Macher'), ('Rose McGowan', 'Tatum Riley'), ('Skeet Ulrich', 'Billy Loomis'), ('Jamie Kennedy', 'Randy Meeks'), ('W. Earl Brown', 'Kenny Brown'), ('Joseph Whipp', 'Sheriff Burke')]",12/20/1996 (US),1h 52m,Tiếng Anh,Sidney và nhóm bạn của cô bị một tên sát nhân trong mặt nạt trằng đe doạ. Mọi nghi ngờ đổ về người yêu của cô. Cô nghĩ chuyện này có liên quan đến cái chết của mẹ cô cách đây một năm. Rồi từng người bạn của cô bị giết một cách bí ẩn.,"$173,100,000.00 ","$14,000,000.00 ",Wes Craven,Kevin Williamson,posters3/poster_217.jpg
https://www.themoviedb.org/movie/436969-the-suicide-squad,Suicide Squad: Điệp Vụ Cảm Tử,75%,"Phim Hành Động, Phim Hài, Phim Phiêu Lưu","[('Margot Robbie', 'Harleen Quinzel / Harley Quinn'), ('Idris Elba', 'Robert DuBois / Bloodsport'), ('John Cena', 'Christopher Smith / Peacemaker'), ('Joel Kinnaman', 'Colonel Rick Flag'), ('Sylvester Stallone', 'Nanaue / King Shark (voice)'), ('Viola Davis', 'Amanda Waller'), ('David Dastmalchian', 'Abner Krill / Polka-Dot Man'), ('Daniela Melchior', 'Cleo Cazo / Ratcatcher 2'), ('Michael Rooker', 'Brian Durlin / Savant')]",11/19/2021 (VN),2h 12m,Tiếng Anh,"Chính phủ gửi những siêu tội phạm nguy hiểm nhất trên thế giới - Bloodsport, Peacemaker, King Shark, Harley Quinn và những người khác - đến hòn đảo Corto Maltese xa xôi, đầy kẻ thù. Được trang bị vũ khí công nghệ cao, họ băng qua khu rừng rậm nguy hiểm trong một nhiệm vụ tìm kiếm và tiêu diệt, chỉ có Đại tá Rick Flag trên mặt đất để bắt họ hành xử.","$168,717,425.00 ","$185,000,000.00 ",James Gunn,,posters3/poster_218.jpg
https://www.themoviedb.org/movie/244786-whiplash,Khát Vọng Nhịp Điệu,84%,"Phim Chính Kịch, Phim Nhạc","[('Miles Teller', 'Andrew Neiman'), ('J.K. Simmons', 'Terence Fletcher'), ('Paul Reiser', 'Jim Neiman'), ('Melissa Benoist', 'Nicole'), ('Austin Stowell', 'Ryan Connolly'), ('Chris Mulkey', 'Uncle Frank'), ('Nate Lang', 'Carl Tanner'), ('Charlie Ian', 'Dustin'), ('Jayson Blair', 'Travis')]",10/10/2014 (US),1h 47m,Tiếng Anh,"Trong “Whiplash”, Miles Teller vào vai Andrew Neyman, một tay trống nhạc jazz trẻ khá tham vọng và quyết tâm theo đuổi đỉnh cao trong sự nghiệp âm nhạc bên bờ biển miền Đông nước Mỹ. Ám ảnh bởi sự nghiệp viết nhạc thất bại của người cha, Andrew ngày đêm nung nấu trở thành một nhạc công vĩ đại. Nhân vật thứ hai, Terence Fletcher (Simmons) là một huấn luyện viên nổi danh nhờ tài năng giảng dạy nhưng cũng khét tiếng bởi các phương pháp khắc nghiệt của ông, chuyên dẫn dắt các tài năng nhạc jazz hàng đầu trong trường nhạc. Fletcher phát hiện ra Andrew và mang tay trống về ban nhạc riêng của mình, thay đổi mãi mãi cuộc đời của chàng trai trẻ. Đam mê vươn tới sự hoàn hảo khiến Andrew rơi vào vòng xoáy của sự ám ảnh, bởi ông thầy tàn nhẫn ...","$13,092,000.00 ","$3,300,000.00 ",Damien Chazelle,,posters3/poster_219.jpg
https://www.themoviedb.org/movie/949-heat,Kỳ Phùng Địch Thủ,79%,"Phim Hành Động, Phim Hình Sự, Phim Chính Kịch","[('Al Pacino', 'Lt. Vincent Hanna'), ('Robert De Niro', 'Neil McCauley'), ('Val Kilmer', 'Chris Shiherlis'), ('Jon Voight', 'Nate'), ('Tom Sizemore', 'Michael Cheritto'), ('Diane Venora', 'Justine'), ('Amy Brenneman', 'Eady'), ('Ashley Judd', 'Charlene Shiherlis'), ('Mykelti Williamson', 'Drucker')]",12/15/1995 (US),2h 50m,Tiếng Anh,"Một chiếc xe bọc thép chở tiền bị đánh cắp giữa thành phố Los Angeles. Ba nhân viên bảo vệ trên xe bị bắn chết. tẩu thoát ngay trước một rừng cảnh sát, bọn cướp không đả động tới tiền mặt, chỉ mang theo một đống trái phiếu trị giá 1,6 triệu đô la của Malibu Equity Investment, một công ty sản xuất vũ khí. Một tay cớm sừng sỏ của sở cảnh sát Los Angeles lần theo dấu vết và nhận ra, anh phải đối đầu với 1 tổ chức xã hội đen nguy hiểm, được cầm đầu bởi 1 tên trùm cũng sừng sỏ không kém.","$187,400,000.00 ","$60,000,000.00 ",Michael Mann,,posters3/poster_220.jpg
