Movie_Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Country,Original_Language,Companies,Description,Budget,Box Office,Certificate (MPAA),Directors,Writing_Credits,poster_path
https://www.imdb.com/title/tt13405778/?ref_=sr_t_125,Insidious: The Red Door,5.5,"Horror, Mystery, Thriller","Ty Simpkins, Patrick Wilson, Rose Byrne, Sinclair Daniel, Hiam Abbass, Andrew Astor, Juliana Davies, Steve Coulter, Peter Dager, Justin Sturgis, Joseph Bishara, David Call, Stephen Gray, Robin S. Walker, Leigh Whannell, Angus Sampson, Lin Shaye, Bridget Kim","July 7, 2023 (United States)",1 hour 47 minutes,United States,English,"Alliance, Blumhouse Productions, Screen Gems",The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.,"$16,000,000 (estimated)","$189,086,877",PG-13,Patrick Wilson,"Leigh Whannell, Scott Teems, Leigh Whannell, Scott Teems","https://m.media-amazon.com/images/M/MV5BOTQyNGY5ZGQtN2E1MC00ZDhkLWJiYWMtMTFjODAwMDFmZDRhXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UY281_CR18,0,190,281_.jpg"
https://www.imdb.com/title/tt0077003/?ref_=sr_t_126,Diff'rent Strokes,6.6,"Comedy, Drama, Family","Gary Coleman, Todd Bridges, Conrad Bain, Dana Plato, Mary Jo Catlett, Danny Cooksey, Shavar Ross, Charlotte Rae, Dixie Carter, Steven Mond, Nedra Volz, Mary Ann Mobley, Nikki Swasey Seaton, Janet Jackson, Jason Hervey, Rosalind Chao, Dody Goodman, Bobby Herbeck","November 3, 1978 (United States)",30 minutes,United States,English,Tandem Productions,The misadventures of a wealthy Manhattan family who adopted the children of their late African American housekeeper from Harlem.,,,TV-14,"Gerren Keith, Herbert Kenwith, Mel Ferber, Leslie H. Martinson, Selig Frank, Tony Singletary, Dolores Ferraro, Linda Day, Ellen Gittelsohn, Lee Lochhead, Lee Shallat Chemel, Jeremiah Morris, Barbara Schultz","Jeff Harris, Bernie Kukoff, Howard Leeds, Howard Leeds, Howard Leeds, Martin Cohan, Martin Cohan, Martin Cohan, Ben Starr, Ben Starr, Ben Starr, Bruce A. Taylor, Bruce A. Taylor, Bruce A. Taylor, Robert Jayson, Robert Jayson, Robert Jayson, Robert Jayson, A. Dudley Johnson Jr., A. Dudley Johnson Jr., A. Dudley Johnson Jr., A. Dudley Johnson Jr., Ed Jurist, Ed Jurist, Howard Meyers, Howard Meyers, Howard Meyers, Howard Meyers, Howard Meyers, Blake Hunter, Blake Hunter, Blake Hunter, Albert E. Lewin, Bob Brunner, Bob Brunner, Bob Brunner, Bob Brunner, Ken Hecht, Ken Hecht, Ken Hecht, Ken Hecht, Alan Rosen, Alan Rosen, Alan Rosen, Fred Rubin, Fred Rubin, Fred Rubin, Glenn Padnick, Glenn Padnick, Glenn Padnick, Dawn Aldredge, Dawn Aldredge, John Donley, John Donley, Sandy Veith, Sandy Veith, Sandy Veith, Jose Rivera, Jose Rivera, Jose Rivera, Fred S. Fox, Seaman Jacobs, Donald Ross, Donald Ross, Paul Haggis, Paul Haggis, Paul Haggis, Paul Haggis, Richard Gurman, Jerry Winnick, Debra Frank, Debra Frank, Debra Frank, Scott Rubenstein, Scott Rubenstein, Scott Rubenstein, Gordon Mitchell, Gordon Mitchell, Marshall Goldberg, Mark Miller, Mark Miller, Budd Grossman, Elaine Newman, Elaine Newman, Joseph Sirota, Joseph Sirota, Norm Liebmann, Norm Liebmann, Calvin Kelly, Calvin Kelly, Bill Shinkai, Bill Shinkai, Warren S. Murray, Warren S. Murray, Kurt Taylor, Kurt Taylor, Kurt Taylor, Bernard Burnell Mack, Bernard Burnell Mack, Jack Gross Jr., Jack Gross Jr., Jack Gross Jr., Phil Margo, Phil Margo, Phil Margo, Mitchell Wayne Cohen, Mitchell Wayne Cohen, Jennifer Burton Kurtz, Jennifer Burton Kurtz, Ifa Baeza, Ifa Baeza, Michael Curley, Sydney Julien, Dan Kennicott, Al Aidekman, Susan H. Lee, Max Katz, Max Katz, Toni Wunsch, Toni Wunsch, Janna Lowell, William Raynor, Michael Russnow, Michael Russnow, Myles Wilder, Ron Alexander, Dick Clair, Jess Korman, Alfred Lewis Levitt, Helen Levitt, Jenna McMahon, Karyl Miller, Michael G. Moye, Martin Ragaway, Martin Ragaway, Charles Stewart Jr., Charles Stewart, George Tibbles, Roland Wolpert, Jaie Brashar, Jaie Brashar, Stephen Fischer, George Geiger, George Geiger, Ben Gershman, Ben Gershman, Patricia Kane, Arlene Sanford, Hugh Wedlock Jr., Hugh Wedlock Jr., Joseph Bonaduce, Sheryl Levine Guterman, Jeffrey Lewis, Mara Lideks, Mara Lideks, Louis Smallwood, Louis Smallwood, Walter Smith, M. Martez Thomas, M. Martez Thomas, Booker Bradshaw, Richard B. Eckhaus, Sandy Fries, Jill Gordon, Jane Gould, Paul Robinson Hunter, Shelly Landau, Keith Moody, Bob Peete, Bob Peete, Larry Rhine, Don Segall, Danny Simon, Jim Tisdale, David W. Duclon, Clay Graham, Tim O'Donnell, Rosemary Lee Potter, Diane Schroder, Sheila Scott, Maria Alexander, Judith Bustany, Migdia Skarsgård Chinea, John B. Collins, Bobby Herbeck, Susan Kessler, Sylvia Alan, Gary Coleman, Barry Gold, Barry Rubinowitz","https://m.media-amazon.com/images/M/MV5BYjEzYTE2M2UtY2RkOC00MTJjLWIyZjgtMjk2MGI5ZTFmNDdiXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UY281_CR2,0,190,281_.jpg"
https://www.imdb.com/title/tt1798632/?ref_=sr_t_127,Firestarter,4.6,"Drama, Horror, Sci-Fi","Zac Efron, Ryan Kiera Armstrong, Sydney Lemmon, Michael Greyeyes, Gloria Reuben, Kurtwood Smith, John Beasley, Tina Jung, Hannan Younis, Gavin Maciver-Wright, Jeremy Ferdman, Jamillah Ross, Morrissa Nicole, Sheila Boyd, Darrin Maharaj, Danny Waugh, Lanette Ware, Hunter Smalley","May 12, 2022 (United States)",1 hour 34 minutes,United States,English,"Blumhouse Productions, Angry Adam Productions, Night Platform",A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,"$12,000,000 (estimated)","$15,039,250",R,Keith Thomas,"Stephen King, Scott Teems","https://m.media-amazon.com/images/M/MV5BMWIzNzA4MmUtYTIzNy00Y2Q5LWIyM2YtZGRiYzM0ZWQzOTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,10,190,281_.jpg"
https://www.imdb.com/title/tt0114148/?ref_=sr_t_128,Pocahontas,6.7,"Animation, Adventure, Drama","Mel Gibson, Linda Hunt, Christian Bale, Joe Baker, Irene Bedard, Billy Connolly, James Apaumut Fall, John Kassir, Judy Kuhn, Danny Mann, Russell Means, David Ogden Stiers, Michelle St. John, Gordon Tootoosis, Frank Welker, Brian Cummings, Jim Cummings, Linda Gary","June 23, 1995 (United States)",1 hour 21 minutes,United States,English,"Walt Disney Pictures, Walt Disney Animation Studios",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"$55,000,000 (estimated)","$346,079,773",G,"Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane, Joe Grant, Ralph Zondag, Burny Mattinson, Ed Gombert, Kaan Kalyon, Francis Glebas, Rob Gibbs, Bruce Morris, Todd Kurosawa, Duncan Marjoribanks, Chris Buck, Andrew Chapman, Randy Cartwright, Will Finn, Broose Johnson, T. Daniel Hofstedt, David Pruiksma, Nik Ranieri, Vincent DeFrances, Tom Mazzocco, Don Dougherty, Jorgen Klubien, Mike Gabriel","https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,1,190,281_.jpg"
https://www.imdb.com/title/tt9584920/?ref_=sr_t_129,The Quintessential Quintuplets,7.6,"Animation, Comedy, Drama","Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Itou, Ayane Sakura, Inori Minase, Jessie James Grelle, Jill Harris, Lindsay Seidel, Felecia Angelle, Tia Lynn Ballard, Bryn Apprill, Hellen Vasconcelos, Natsumi Takamori, Dani Chambers, Christopher Wehkamp, Jim Foronda, Brianna Roberts","January 11, 2019 (United States)",24 minutes,Japan,Japanese,"Bibury Animation Studios, Tezuka Productions, Tokyo Broadcasting System (TBS)","With his family deep in debt, Futaro Uesugi accepts a lucrative job tutoring underachieving quintuplet classmates to help them graduate high school.",,,TV-PG,"Satoshi Kuwabara, Kaori, Fumio Maezono, Fumihiro Yoshimura, Yuuichirou Aoki, Ippei Ichii, Takayuki Chiba, Yasuo Iwamoto, Ryô Miyata, Yuki Morita, Takuo Suzuki, Yorifusa Yamaguchi, Midori Yoshizawa, Shigeru Kimiya, Takayuki Kitagawa, Kazuomi Koga, Yoshihisa Matsumoto, Mitsutaka Noshitani, Akiko Seki, Kento Shintani","Negi Haruba, Negi Haruba, Keiichirô Ôchi, Keiichirô Ôchi, Keiichirô Ôchi, Katelyn Barr, Mayumi Morita, Beth Featherstone","https://m.media-amazon.com/images/M/MV5BZjE4NGNkMTEtMWIyMi00MWFiLTg2MjUtNjdlNDA1NGZlMTM4XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
https://www.imdb.com/title/tt8239946/?ref_=sr_t_130,Tumbbad,8.2,"Drama, Fantasy, Horror","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Ronjini Chakraborty, Deepak Damle, Cameron Anderson, Dhundiraj Prabhakar Jogalekar, Madhav Hari Joshi, Harsh K., Piyush Kaushik, Harish Khanna, Anika Radhakrishnan, Arohi Radhakrishnan, Mohammad Samad, Rudra Soni","October 12, 2018 (India)",1 hour 44 minutes,India,Hindi,"Colour Yellow Productions, Sohum Shah FIlms, Film i Väst",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,,,Not Rated,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Mitesh Shah, Adesh Prasad, Rahi Anil Barve, Anand Gandhi, Narayan Dharap","https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_QL75_UY281_CR4,0,190,281_.jpg"
https://www.imdb.com/title/tt0370986/?ref_=sr_t_131,Mysterious Skin,7.6,Drama,"Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue, Chase Ellison, George Webster, Rachael Nastassja Kraft, Lisa Long, Chris Mulkey, David Lee Smith, Bill Sage, Riley McGuire, Ryan Stenzel, Richard Riehle, Michelle Trachtenberg, Larry Marko, Mary Lynn Rajskub, Clover, Jeffrey Licon","June 24, 2005 (United States)",1 hour 45 minutes,United States,English,"Antidote Films (I), Desperate Pictures, Fortissimo Films","Two pre-adolescent boys both experienced a strange event and later it affects their lives in different ways. One becomes a reckless, sexually adventurous prostitute, while the other retreats into a reclusive fantasy of alien abduction.",,,Unrated,Gregg Araki,"Gregg Araki, Scott Heim","https://m.media-amazon.com/images/M/MV5BMGI2M2RhMDYtMzBjYy00YmUxLWJjMzUtNjBkYTI1Y2QwNzUwXkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_QL75_UX190_CR0,2,190,281_.jpg"
https://www.imdb.com/title/tt6968614/?ref_=sr_t_132,The Mother,5.6,"Action, Thriller","Jennifer Lopez, Lucy Paez, Omari Hardwick, Joseph Fiennes, Gael García Bernal, Paul Raci, Jesse Garcia, Yvonne Senat Jones, Edie Falco, Michael Karl Richards, Link Baker, Mayumi Yoshida, Ryan Cowie, Todd Matthews, Yadier Fernández, Olivia Lucas, Mehdi Regragui, Jay Cardinal Villeneuve","May 12, 2023 (United States)",1 hour 55 minutes,United States,English,"Nuyorican Productions, Vertigo Entertainment","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.","$43,000,000 (estimated)",,R,Niki Caro,"Misha Green, Andrea Berloff, Peter Craig, Misha Green","https://m.media-amazon.com/images/M/MV5BODlmZThjZGItOGRmMC00ODVjLWIzYWMtODBhYzQyZjE4NWE5XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg"
https://www.imdb.com/title/tt8385148/?ref_=sr_t_133,Hitman's Wife's Bodyguard,6.1,"Action, Comedy, Crime","Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Antonio Banderas, Caroline Goodall, Rebecca Front, Gabriella Wright, Alice McMillan, Kristofer Kamiyasu, Gary Oldman, Tom Hopper, Blake Ritson, Richard E. Grant, Stewart Alexander, Tsuwayuki Saotome, Noortje Herlaar, Michael Gor, Georgie Glen","June 16, 2021 (United States)",1 hour 40 minutes,United Kingdom,English,"Millennium Media, Summit Entertainment, Campbell Grobman Films","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.","$70,000,000 (estimated)","$70,094,113",R,Patrick Hughes,"Tom O'Connor, Phillip Murphy, Brandon Murphy, Tom O'Connor, Tom O'Connor","https://m.media-amazon.com/images/M/MV5BNGQ2MGQ1ZGQtOTY4MS00ZDA5LWE5YmUtMGE0YTE2YTZiODZkXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX190_CR0,6,190,281_.jpg"
https://www.imdb.com/title/tt3152624/?ref_=sr_t_134,Trainwreck,6.2,"Comedy, Drama, Romance","Amy Schumer, Bill Hader, Brie Larson, Colin Quinn, Devin Fabry, Carla Oudin, Josh Segarra, Ryan Farrell, Robert E. Torres, Jim Florentine, Robert Kelly, Dan Soder, John Cena, Dave Attell, Vanessa Bayer, Tilda Swinton, Randall Park, Jon Glaser","July 17, 2015 (United States)",2 hours 5 minutes,United States,English,"Universal Pictures, Apatow Productions, Dentsu","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.","$35,000,000 (estimated)","$140,795,793",R,Judd Apatow,Amy Schumer,"https://m.media-amazon.com/images/M/MV5BMTQ4MjgwNTMyOV5BMl5BanBnXkFtZTgwMTc1MjI0NDE@._V1_QL75_UX190_CR0,10,190,281_.jpg"
